委托日期,id,买卖方向,委托数量,委托日期,开平仓,证券代码
2020-06-01 09:37:54.000,172,买,100,2020-06-01 09:37:54.000,开仓,600037
2020-06-01 09:37:54.000,173,卖,100,2020-06-01 09:37:54.000,开仓,600132
2020-06-01 09:37:54.000,174,卖,100,2020-06-01 09:37:54.000,平仓,600143
2020-06-01 09:37:54.000,175,卖,100,2020-06-01 09:37:54.000,平仓,600167
2020-06-01 09:37:57.000,176,卖,100,2020-06-01 09:37:57.000,开仓,600037
2020-06-01 09:37:57.000,177,买,100,2020-06-01 09:37:57.000,开仓,600037
2020-06-01 09:38:00.000,178,卖,100,2020-06-01 09:38:00.000,开仓,600037
2020-06-01 09:38:00.000,179,买,100,2020-06-01 09:38:00.000,开仓,600037
2020-06-01 09:38:00.000,180,买,100,2020-06-01 09:38:00.000,开仓,600143
2020-06-01 09:38:00.000,181,买,100,2020-06-01 09:38:00.000,平仓,600161
2020-06-01 09:38:00.000,182,卖,100,2020-06-01 09:38:00.000,开仓,600259
2020-06-01 09:38:00.000,183,买,100,2020-06-01 09:38:00.000,平仓,600315
2020-06-01 09:38:03.000,184,卖,100,2020-06-01 09:38:03.000,开仓,600037
2020-06-01 09:38:03.000,185,买,100,2020-06-01 09:38:03.000,开仓,600037
2020-06-01 09:38:03.000,186,买,100,2020-06-01 09:38:03.000,平仓,600079
2020-06-01 09:38:03.000,187,买,100,2020-06-01 09:38:03.000,平仓,600153
2020-06-01 09:38:03.000,188,卖,100,2020-06-01 09:38:03.000,开仓,600259
2020-06-01 09:38:06.000,189,卖,100,2020-06-01 09:38:06.000,开仓,600021
2020-06-01 09:38:06.000,190,卖,100,2020-06-01 09:38:06.000,开仓,600037
2020-06-01 09:38:06.000,191,买,100,2020-06-01 09:38:06.000,开仓,600037
2020-06-01 09:38:06.000,192,卖,100,2020-06-01 09:38:06.000,开仓,600167
2020-06-01 09:38:09.000,193,卖,100,2020-06-01 09:38:09.000,开仓,600017
2020-06-01 09:38:09.000,194,卖,100,2020-06-01 09:38:09.000,开仓,600037
2020-06-01 09:38:09.000,195,买,100,2020-06-01 09:38:09.000,开仓,600037
2020-06-01 09:38:09.000,196,卖,100,2020-06-01 09:38:09.000,开仓,600260
2020-06-01 09:38:12.000,197,卖,100,2020-06-01 09:38:12.000,开仓,600037
2020-06-01 09:38:12.000,198,买,100,2020-06-01 09:38:12.000,开仓,600037
2020-06-01 09:38:12.000,199,卖,100,2020-06-01 09:38:12.000,开仓,600079
2020-06-01 09:38:12.000,200,买,100,2020-06-01 09:38:12.000,平仓,600132
2020-06-01 09:38:15.000,201,卖,100,2020-06-01 09:38:15.000,开仓,600037
2020-06-01 09:38:15.000,202,买,100,2020-06-01 09:38:15.000,开仓,600037
2020-06-01 09:38:15.000,203,买,100,2020-06-01 09:38:15.000,平仓,600073
2020-06-01 09:38:15.000,204,卖,100,2020-06-01 09:38:15.000,开仓,600120
2020-06-01 09:38:15.000,205,买,100,2020-06-01 09:38:15.000,平仓,600132
2020-06-01 09:38:18.000,206,卖,100,2020-06-01 09:38:18.000,开仓,600037
2020-06-01 09:38:18.000,207,买,100,2020-06-01 09:38:18.000,开仓,600037
2020-06-01 09:38:18.000,208,买,100,2020-06-01 09:38:18.000,开仓,600126
2020-06-01 09:38:18.000,209,卖,100,2020-06-01 09:38:18.000,平仓,600143
2020-06-01 09:38:21.000,210,卖,100,2020-06-01 09:38:21.000,开仓,600037
2020-06-01 09:38:21.000,211,买,100,2020-06-01 09:38:21.000,开仓,600037
2020-06-01 09:38:21.000,212,卖,100,2020-06-01 09:38:21.000,开仓,600258
2020-06-01 09:38:21.000,213,买,100,2020-06-01 09:38:21.000,平仓,600315
2020-06-01 09:38:24.000,214,卖,100,2020-06-01 09:38:24.000,开仓,600037
2020-06-01 09:38:24.000,215,买,100,2020-06-01 09:38:24.000,开仓,600037
2020-06-01 09:38:24.000,216,买,100,2020-06-01 09:38:24.000,平仓,600259
2020-06-01 09:38:27.000,217,卖,100,2020-06-01 09:38:27.000,开仓,600037
2020-06-01 09:38:27.000,218,买,100,2020-06-01 09:38:27.000,开仓,600037
2020-06-01 09:38:27.000,219,买,100,2020-06-01 09:38:27.000,平仓,600258
2020-06-01 09:38:30.000,220,卖,100,2020-06-01 09:38:30.000,开仓,600037
2020-06-01 09:38:30.000,221,买,100,2020-06-01 09:38:30.000,开仓,600037
2020-06-01 09:38:30.000,222,卖,100,2020-06-01 09:38:30.000,开仓,600056
2020-06-01 09:38:30.000,223,买,100,2020-06-01 09:38:30.000,平仓,600120
2020-06-01 09:38:30.000,224,买,100,2020-06-01 09:38:30.000,平仓,600260
2020-06-01 09:38:33.000,225,卖,100,2020-06-01 09:38:33.000,开仓,600037
2020-06-01 09:38:33.000,226,买,100,2020-06-01 09:38:33.000,开仓,600037
2020-06-01 09:38:33.000,227,卖,100,2020-06-01 09:38:33.000,开仓,600053
2020-06-01 09:38:33.000,228,买,100,2020-06-01 09:38:33.000,平仓,600155
2020-06-01 09:38:33.000,229,买,100,2020-06-01 09:38:33.000,平仓,600201
2020-06-01 09:38:36.000,230,卖,100,2020-06-01 09:38:36.000,开仓,600037
2020-06-01 09:38:36.000,231,买,100,2020-06-01 09:38:36.000,开仓,600037
2020-06-01 09:38:36.000,232,买,100,2020-06-01 09:38:36.000,平仓,600073
2020-06-01 09:38:36.000,233,买,100,2020-06-01 09:38:36.000,平仓,600132
