,000008,600167,600195,600216
2020-06-02 09:42:33.000,3.01,15.15,14.86,16.63
2020-06-02 09:42:36.000,3.01,15.15,14.86,16.63
2020-06-02 09:42:39.000,3.01,15.15,14.86,16.63
2020-06-02 09:42:42.000,3.01,15.15,14.78,16.63
2020-06-02 09:42:45.000,3.01,15.15,14.78,16.63
2020-06-02 09:42:48.000,3.01,15.15,14.78,16.63
2020-06-02 09:42:51.000,3.01,15.15,14.78,16.63
2020-06-02 09:42:54.000,3.01,15.15,14.78,16.63
2020-06-02 09:42:57.000,3.01,15.15,14.78,16.63
2020-06-02 09:43:00.000,3.01,15.15,14.78,16.63
2020-06-02 09:43:03.000,3.01,15.15,14.78,16.63
2020-06-02 09:43:06.000,3.01,15.15,14.78,16.63
2020-06-02 09:43:09.000,3.0,15.15,14.78,16.63
2020-06-02 09:43:12.000,3.0,15.15,14.78,16.63
2020-06-02 09:43:15.000,3.0,15.15,14.78,16.63
2020-06-02 09:43:18.000,3.0,15.15,14.78,16.63
2020-06-02 09:43:21.000,3.0,15.15,14.78,16.63
2020-06-02 09:43:24.000,3.0,15.15,14.78,16.63
2020-06-02 09:43:27.000,3.0,15.15,14.78,16.63
2020-06-02 09:43:30.000,3.01,15.15,14.78,16.63
2020-06-02 09:43:33.000,3.01,15.15,14.78,16.63
2020-06-02 09:43:36.000,3.01,15.15,14.78,16.63
2020-06-02 09:43:39.000,3.01,15.15,14.78,16.63
2020-06-02 09:43:42.000,3.01,15.15,14.78,16.63
2020-06-02 09:43:45.000,3.01,15.15,14.78,16.63
2020-06-02 09:43:48.000,3.01,15.15,14.78,16.63
2020-06-02 09:43:51.000,3.01,15.15,14.78,16.63
2020-06-02 09:43:54.000,3.01,15.15,14.78,16.63
2020-06-02 09:43:57.000,3.01,15.15,14.78,16.63
2020-06-02 09:44:00.000,3.01,15.15,14.78,16.63
2020-06-02 09:44:03.000,3.01,15.15,14.78,16.63
2020-06-02 09:44:06.000,3.01,15.15,14.78,16.63
2020-06-02 09:44:09.000,3.01,15.15,14.78,16.63
2020-06-02 09:44:12.000,3.01,15.15,14.78,16.63
2020-06-02 09:44:15.000,3.01,15.15,14.78,16.63
2020-06-02 09:44:18.000,3.01,15.15,14.78,16.63
2020-06-02 09:44:21.000,3.01,15.15,14.78,16.63
2020-06-02 09:44:24.000,3.01,15.15,14.78,16.63
2020-06-02 09:44:27.000,3.01,15.15,14.78,16.63
2020-06-02 09:44:30.000,3.01,15.15,14.78,16.63
2020-06-02 09:44:33.000,3.01,15.15,14.78,16.63
2020-06-02 09:44:36.000,3.01,15.15,14.78,16.63
2020-06-02 09:44:39.000,3.01,15.15,14.78,16.63
2020-06-02 09:44:42.000,3.01,15.17,14.78,16.63
2020-06-02 09:44:45.000,3.01,15.17,14.78,16.63
2020-06-02 09:44:48.000,3.01,15.17,14.78,16.63
2020-06-02 09:44:51.000,3.01,15.17,14.78,16.63
2020-06-02 09:44:54.000,3.01,15.17,14.78,16.63
2020-06-02 09:44:57.000,3.01,15.17,14.78,16.63
2020-06-02 09:45:00.000,3.01,15.17,14.78,16.63
2020-06-02 09:45:03.000,3.01,15.17,14.78,16.63
2020-06-02 09:45:06.000,3.01,15.17,14.78,16.63
2020-06-02 09:45:09.000,3.01,15.17,14.78,16.63
2020-06-02 09:45:12.000,3.01,15.17,14.78,16.63
2020-06-02 09:45:15.000,3.01,15.17,14.78,16.63
2020-06-02 09:45:18.000,3.01,15.17,14.78,16.63
2020-06-02 09:45:21.000,3.01,15.17,14.78,16.63
2020-06-02 09:45:24.000,3.01,15.17,14.78,16.63
2020-06-02 09:45:27.000,3.01,15.17,14.78,16.63
2020-06-02 09:45:30.000,3.01,15.17,14.78,16.63
2020-06-02 09:45:33.000,3.01,15.17,14.78,16.63
2020-06-02 09:45:36.000,3.01,15.17,14.78,16.63
2020-06-02 09:45:39.000,3.01,15.17,14.78,16.63
2020-06-02 09:45:42.000,3.01,15.17,14.78,16.63
2020-06-02 09:45:45.000,3.01,15.17,14.78,16.63
2020-06-02 09:45:48.000,3.01,15.17,14.78,16.63
2020-06-02 09:45:51.000,3.01,15.17,14.78,16.63
2020-06-02 09:45:54.000,3.01,15.17,14.78,16.63
2020-06-02 09:45:57.000,3.01,15.17,14.78,16.63
2020-06-02 09:46:00.000,3.01,15.17,14.78,16.63
2020-06-02 09:46:03.000,3.01,15.17,14.78,16.63
2020-06-02 09:46:06.000,3.01,15.17,14.78,16.63
